turnover,code,age,gender,educ,manager,cont_hour,cont_type,lmx,infoshare,voice,paysatis,fair,proact,caropp,N,FTEN,FTELY,employee_council,hr_rep,n_levels,n_deps,n_magers,familybiz,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,superboard,adv_board,corp_entr,stratplan,entr_orient
2,ALbeige,24.14,0,5,0,-15.56,0,4.67,3.5,4.25,4,3.13,0.66,3.33,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
3,ALbeige,32.14,0,5,0,8.44,0,4.42,5,3.75,3,3.25,0.06,4.33,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1.333333333,ALbeige,44.14,1,6,0,-1.56,1,4.75,5,5,4.33,4.5,1.06,5,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1.333333333,ALbeige,43.14,0,6,0,8.44,1,3.83,3,3.5,4,3.57,0.06,3.66,-32.27166437,-26.40302613,-24.52063274,-0.170563961,-0.44085282,-0.667125172,-0.770976616,-1.463548831,-0.549518569,-0.136176066,-0.150618982,-0.828060523,-1.149931224,-0.539202201,-0.187070151,-0.094910591,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.227885975,-0.90678231
1,ALgeel,37.14,0,3,0,0.44,0,4.42,5,3.75,4,4.13,0.46,4,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.333333333,ALgeel,28.14,0,5,0,8.44,1,4.5,5,3.5,3.67,3.88,1.06,5,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2.666666667,ALgeel,27.14,1,5,0,0.44,1,3.08,5,3,2.67,2.19,-0.14,3.33,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
1.333333333,ALgeel,30.14,1,5,0,0.44,1,3.5,5,3.5,2.67,2.25,-0.14,3,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2,ALgeel,24.14,1,5,1,4.44,0,4.5,4.5,4,3.33,3.5,-0.94,4,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
2,ALgeel,31.14,1,5,0,4.44,1,3.92,5,4.5,4,4,1.06,4,-18.27166437,-14.40302613,-15.52063274,-0.170563961,-0.44085282,-0.667125172,0.229023384,-1.463548831,-0.549518569,-0.136176066,0.849381018,0.171939477,-0.149931224,-0.539202201,0.812929849,0.905089409,-0.044704264,0.149243466,-0.04561161,-0.085434174,0.170796722,-0.304809052,0.648773246
